% Model,mini proje 1.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 10 2026, 11:23"
% Dimension,1
% Nodes,9
% Expressions,1
% Description,Global
% omega*t (deg),Axial torque
0,0.15058429216324817
22.5,-78.44859874843435
45,-86.08782550759503
67.5,-68.97685131066369
90,-0.24179841784570189
112.5,69.64581315855963
135,86.64681483999779
157.5,79.0861120440212
180,0.16582455978127505
