% Model:              mini proje 2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jun 1 2026, 17:27
% Dimension:          1
% Nodes:              147
% Expressions:        1
% Description:        Global
% theta_rot               Coil concatenated flux, Coil concatenated flux, Coil concatenated flux
0                         -0.02084484844972267
0.008726646259971648      -0.020801584096709295
0.017453292519943295      -0.02067371948318008
0.026179938779914945      -0.020461259459175443
0.03490658503988659       -0.020164474534588063
0.04363323129985824       -0.019787275292445533
0.05235987755982989       -0.01932970928725212
0.061086523819801536      -0.018795547921315953
0.06981317007977318       -0.018187850457631813
0.07853981633974483       -0.01751102421108141
0.08726646259971647       -0.01676955220715502
0.09599310885968812       -0.01596699585027454
0.10471975511965978       -0.015110117810781334
0.11344640137963143       -0.014201878216239928
0.12217304763960307       -0.013247246379972846
0.1308996938995747        -0.012251021395041955
0.13962634015954636       -0.011216824290279278
0.14835298641951802       -0.010148860526451713
0.15707963267948966       -0.009051691537229345
0.16580627893946132       -0.00792879877680378
0.17453292519943295       -0.006783998739239258
0.1832595714594046        -0.005621145086895658
0.19198621771937624       -0.004443818239506702
0.2007128639793479        -0.003255407673905861
0.20943951023931956       -0.0020586874996353314
0.2181661564992912        -8.575372551910342E-4
0.22689280275926285       3.459907748250894E-4
0.23561944901923448       0.0015485769851045336
0.24434609527920614       0.0027474853990706394
0.2530727415391778        0.003939729341428868
0.2617993877991494        0.005122257313707935
0.27052603405912107       0.006291642027554549
0.2792526803190927        0.0074445217211160306
0.2879793265790644        0.00857731807246715
0.29670597283903605       0.009685539098034504
0.30543261909900765       0.010766578195601903
0.3141592653589793        0.011815395366285068
0.32288591161895097       0.012828234369106632
0.33161255787892263       0.013801409751424699
0.34033920413889424       0.014729811185692283
0.3490658503988659        0.015609416725071483
0.35779249665883756       0.016435375329541087
0.3665191429188092        0.017203404054187327
0.3752457891787809        0.01790815089348925
0.3839724354387525        0.018545032313960576
0.39269908169872414       0.019111689938836784
0.4014257279586958        0.019602290881063435
0.41015237421866746       0.020014151275178516
