% Model,mini proje 1 non-linear.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 14 2026, 19:16"
% Dimension,1
% Nodes,9
% Expressions,1
% Description,Global
% omega * t (deg),Coil inductance
0,0.043329601839152125
22.5,0.036840317739936394
45,0.02808735820065399
67.5,0.018739724373980728
90,0.01396571067978868
112.5,0.018740563981147644
135,0.028089101977760232
157.5,0.036834737653263255
180,0.043337537047616934
